EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,hrs
1,High,Very High,Good,51,No,Travel_Rarely,Sales,6,College,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,Y,11,8,0,1.0,6,1,0,0,High,Excellent,6.870228692547777
2,High,Medium,Best,31,Yes,Travel_Frequently,Research & Development,10,Below College,Life Sciences,1,Female,1,Research Scientist,Single,41890,0.0,Y,23,8,1,6.0,3,5,1,4,Medium,Outstanding,7.686399437411945
3,Medium,Medium,Bad,32,No,Travel_Frequently,Research & Development,17,Master,Other,1,Male,4,Sales Executive,Married,193280,1.0,Y,15,8,3,5.0,2,5,0,3,High,Excellent,7.013240358126667
4,Very High,Very High,Better,38,No,Non-Travel,Research & Development,2,Doctor,Life Sciences,1,Male,3,Human Resources,Married,83210,3.0,Y,11,8,3,13.0,5,8,7,5,Medium,Excellent,7.1936784869975
5,Very High,Low,Better,32,No,Travel_Rarely,Research & Development,10,Below College,Medical,1,Male,1,Sales Executive,Single,23420,4.0,Y,12,8,2,9.0,2,6,0,4,High,Excellent,7.973629177958333
6,High,Medium,Good,46,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,1,Female,4,Research Director,Married,40710,3.0,Y,13,8,0,28.0,5,7,7,7,High,Excellent,10.75073412698389
7,Low,High,Bad,28,Yes,Travel_Rarely,Research & Development,11,College,Medical,1,Male,2,Sales Executive,Single,58130,2.0,Y,20,8,1,5.0,2,0,0,0,High,Outstanding,6.8938555078683335
8,Low,Medium,Better,29,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,1,Male,2,Sales Executive,Married,31430,2.0,Y,22,8,3,10.0,2,0,0,0,High,Outstanding,6.725620713305833
9,Medium,Very High,Better,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Laboratory Technician,Married,20440,0.0,Y,21,8,0,10.0,2,9,7,8,High,Outstanding,7.174115181992223
10,Medium,Low,Better,25,No,Non-Travel,Research & Development,7,Master,Medical,1,Female,4,Laboratory Technician,Divorced,134640,1.0,Y,13,8,1,6.0,2,6,1,5,High,Excellent,7.080087844254445
11,High,Very High,Better,45,No,Travel_Rarely,Research & Development,17,College,Medical,1,Male,2,Laboratory Technician,Married,79910,0.0,Y,13,8,2,21.0,2,20,4,10,Medium,Excellent,8.403485477178334
12,High,Very High,Better,36,No,Travel_Rarely,Research & Development,28,Below College,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0.0,Y,12,8,2,16.0,2,15,10,11,High,Excellent,7.039744031221111
13,Very High,Low,Better,55,No,Travel_Rarely,Research & Development,14,Master,Life Sciences,1,Female,1,Sales Executive,Single,55380,0.0,Y,17,8,0,37.0,2,36,4,13,High,Excellent,9.26096859903361
14,Low,Medium,Good,47,Yes,Non-Travel,Research & Development,1,Below College,Medical,1,Male,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,10,9,9,Medium,Excellent,9.320607126113334
15,Very High,Very High,Good,28,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,5,0,4,High,Excellent,6.089687644075555
16,High,Very High,Best,37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,5,0,1,High,Excellent,6.6770016339866665
17,Very High,High,Best,21,No,Travel_Rarely,Research & Development,3,College,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0,Medium,Excellent,6.590009746588611
18,Low,Very High,Better,37,No,Non-Travel,Research & Development,1,Bachelor,Medical,1,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2,High,Excellent,11.014328139114722
19,Medium,Medium,Good,35,No,Travel_Rarely,Sales,7,Master,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2,Medium,Excellent,6.930381497376945
20,Low,Low,Better,38,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,1,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7,High,Excellent,9.253497365900278
21,High,Medium,Bad,26,No,Travel_Frequently,Research & Development,1,Master,Other,1,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4,High,Excellent,7.493874704491667
22,Low,Medium,Good,50,No,Travel_Rarely,Sales,8,Master,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,Medium,Outstanding,5.982935660018889
23,High,High,Good,53,No,Travel_Rarely,Research & Development,11,Master,Life Sciences,1,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3,High,Excellent,8.366047925607777
24,Medium,High,Better,42,No,Travel_Rarely,Research & Development,4,Master,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,<built-in method __round__ of numpy.float64 object at 0x00000186688B2790>,4,20,11,6,Low,Excellent,6.7512101548269445
25,Medium,Very High,Good,29,No,Travel_Frequently,Research & Development,16,Master,Medical,1,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9,High,Excellent,6.972432624113333
26,Medium,Very High,Better,55,No,Travel_Rarely,Research & Development,1,Master,Other,1,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8,High,Excellent,9.323316115702223
27,Low,Low,Better,26,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,High,Outstanding,10.977123430962223
28,Very High,Very High,Better,37,No,Travel_Rarely,Sales,5,Below College,Marketing,1,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,High,Excellent,7.604444444444445
29,Very High,High,Bad,44,Yes,Travel_Frequently,Research & Development,1,College,Medical,1,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,Medium,Excellent,10.932595628415278
30,Very High,Very High,Better,38,No,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,Medium,Excellent,6.743319027181666
31,Low,Medium,Better,26,Yes,Travel_Rarely,Research & Development,4,Bachelor,Medical,1,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,Medium,Excellent,10.025163194444444
